Titulo,Reclamação,Status,Data,Localidade
Não consigo resolver meu problema com o atendente., Estou mega insatisfeita e com raiva da Vivo porque só hoje dia 11 de novembro de 2019 liguei 4 vezes e expliquei 4 vez... ,Não respondida,11/11/2019, Rio de Janeiro 
Depois de 3 anos descubro que tenho conta em aberto, Achei que já tinha resolvido o problema quando sem querer descubro que a conta que eu achava que não teria mais dor de... ,Não respondida,11/11/2019, Rio de Janeiro 
Cobrança indevida," Olá, FUTTURA COMERCIO E IMPORTACAO LTDA,Esta á a confirmação do pedido de cancelamento do(s) serviço(s) Vivo,... ",Não respondida,11/11/2019, São Paulo 
Insatisfação ," Boa tarde!Tenho uma linha fixa comercial, que  o telefone para de funcionar sempre, está sem funcionar, hoje fiq... ",Não respondida,11/11/2019, Campinas 
Cobrança insistente sem ao menos ser cliente. Ausência de canal para reclamação," Não sou cliente VIVO, mas venho recebendo, de forma insistente, ligações da operadora em minha residência com o fim de... ",Não respondida,11/11/2019, Belém 
Cobrança indevida e abertura de Serasa contra a empresa.," A Vivo está alegando que a empresa COMEDIX COMERCIO DE COSMETICOS LTDA, cnpj: 05.315.782/0001-71, está com uma pendênc... ",Não respondida,11/11/2019, São Paulo 
Péssima tecnologia," Desde que mudei de operadora,passando para a Vivo,SEMPRE que chove,fico sem telefone.Parece que é tecnologia do ... ",Não respondida,11/11/2019, Rio de Janeiro 
Falta de crédito," Olá, fiz uma recarga de $15 no dia 09/11 que é o valor do meu plano de 15 dias, porem ate agora o saldo não apareceu e... ",Não respondida,11/11/2019, Araras 
Falsa afirmação sobre seguros de celulares," Ano passado contratei para meu celular novo um seguro de quebra, [Editado pelo Reclame Aqui] e furto. Eles me haviam v... ",Não respondida,11/11/2019, São Paulo 
Cobrança indevida, Eu fiz uma recarga de emergência pois precisava fazer uma ligação e fiz a ligação e após algumas horas fui debitada po... ,Não respondida,11/11/2019, Teresina 
cobrança indevida de multa e de conta paga com debito em conta, eu ia cancelar os serviços da vivo porém os atendente me ofereceram de ficar somente com internet oq quiz para reduzir... ,Não respondida,11/11/2019, Araucária 
Cobrança indevida," No final do ano passado, contratei o serviço cloud da VIVO, para instalar um servidor VPS. Tudo foi feito pelo site. I... ",Não respondida,11/11/2019, Pará de Minas 
Conta veio mais cara, A conta do mês de novembro veio mais cara e com serviço que não pedi. Já liguei muuuuitas vezes desde 1 de novembro e ... ,Não respondida,11/11/2019, Porto Alegre 
IMEI bloqueado, Fui vitima de [Editado pelo Reclame Aqui] /clonagem no meu cartão de credito em final de outubro. Os autores da [Edita... ,Não respondida,11/11/2019, Rio de Janeiro 
Cobrança indevida," Recebo constantes email para quitação de débito, no entanto, não há débito pois todos já foram quitados.Já... ",Não respondida,11/11/2019, Joinville 
Enganação ao cliente," A um ano atrás fiz um plano com a vivo no valor de 54 reais hoje o mesmo está custando 67 reais, por condições e opção... ",Não respondida,11/11/2019, Jandira 
Absurdo - Descaso - Não funcionamento com cobrança," Desde jul/2019 nossa linha telefônica não tem serviço , apesar de todos os protocolos abertos e promessa de aparecer a... ",Não respondida,11/11/2019, São Paulo 
"Péssimo serviço, atendimento ainda pior", eu contratei um plano péssimo da vivo em julho. fui ate a loja e tenho contrato em mão. Reclamei que a internet é péss... ,Não respondida,11/11/2019, Juiz de Fora 
Não cumpriu o que foi acordado pelo próprio atedimento," RECLAMAÇÃO  VIVOVenho por meio desta, expor minha insatisfação com a empresa Vivo, que não valoriza o seu ... ",Não respondida,11/11/2019, Recife 
Propaganda enganosa e falta de respeito com o cliente," Bom dia!Tenho o serviço de telefonia fixa em minha residência e, também internet fixa, porém, a empresa vivo ven... ",Não respondida,11/11/2019, Itapecerica da Serra 
Cobrança indevida," Fiz contato após um reajuste de valor abusivo na tarifa, porém após  o contato me informaram que iriam baixar os valor... ",Não respondida,11/11/2019, São Paulo 
Renovação automática do contrato, Em maio desse ano venceu o meu contrato empresarial junto a vivo.Desde dezembro de 2018 estou entrando em contat... ,Não respondida,11/11/2019, Belo Horizonte 
RECARGA NÃO CAIU," Fiz uma recarga pelo aplicativo da Vivo dia 09/11/19 as 08:43h e ate agora não caiu no meu celular o valor da recarga,... ",Não respondida,11/11/2019, Araçatuba 
Cobrança Indevida," Já entrei em contato várias vezes solicitando o cancelamento, falam que o procedimento foi realiza e quando vou ver é ... ",Não respondida,11/11/2019, Rio de Janeiro 
Cobrança Indevida," Já entrei em contato várias vezes solicitando o cancelamento, falam que o procedimento foi realiza e quando vou ver é ... ",Não respondida,11/11/2019, Rio de Janeiro 
